Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,,,"C
P
A
B",Unknown
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,,,"A
K
P",Unknown
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,,,"A
B
P
S",Unknown
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,,,"B
P",Unknown
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,,,"B
P",Unknown
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,,,"A
B
K
P",Unknown
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,,,"A
B
P",Unknown
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,,,"A
B
P
S",Unknown
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,,,"B
P
S
A",Unknown
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,,,"P
S
K
B
A",Unknown
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,,,"A
B
P",Unknown
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,,,"B
A
P",Unknown
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,,,"A
E
B
C
D
P",Unknown
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,,,K,Unknown
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,,,K,Unknown
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,,,K,Unknown
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,,,K,Unknown
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,,,K,Unknown
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,,,K,Unknown
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,,,K,Unknown
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,,,S,Unknown
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,,,K,Unknown
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,,,S,Unknown
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,,,K,Unknown
